application_id,application_name,cpu_usage,memory_usage,age_years,criticality,compliance_flag,dependency_ids,dependency_count
APP001,incentivize holistic bandwidth,0.76,0.64,15,Low,0,"APP089,APP635,APP387,APP766,APP049",5
APP002,incentivize intuitive e-commerce,0.9,0.19,14,Low,1,0,0
APP003,incubate robust info-mediaries,0.51,0.82,2,Low,0,"APP391,APP198",2
APP004,re-contextualize scalable mindshare,0.44,0.92,13,High,0,"APP723,APP696,APP980,APP264,APP1000",5
APP005,extend 24/365 e-commerce,0.49,0.71,10,Low,1,"APP896,APP208,APP924",3
APP006,cultivate transparent functionalities,0.64,0.34,6,Medium,0,"APP268,APP247,APP788",3
APP007,incentivize distributed e-business,0.69,0.33,5,Low,1,0,0
APP008,enable clicks-and-mortar mindshare,0.63,0.94,8,Medium,0,"APP891,APP168,APP833",3
APP009,reinvent e-business bandwidth,0.14,0.35,12,High,1,"APP169,APP103",2
APP010,benchmark impactful metrics,0.21,0.61,11,High,1,APP271,1
APP011,incentivize wireless networks,0.74,0.3,1,High,1,"APP991,APP761,APP925",3
APP012,cultivate wireless synergies,0.21,0.93,6,Low,0,"APP055,APP110",2
APP013,unleash 24/365 initiatives,0.32,0.12,1,High,0,0,0
APP014,deploy plug-and-play initiatives,0.7,0.14,3,High,1,0,0
APP015,harness turn-key solutions,0.91,0.17,9,Low,0,"APP563,APP849,APP927,APP086",4
APP016,seize seamless relationships,0.8,0.97,4,Low,1,"APP063,APP420,APP033,APP195,APP277",5
APP017,embrace B2B bandwidth,0.82,0.73,2,High,0,"APP579,APP269,APP1000",3
APP018,architect front-end functionalities,0.79,0.13,12,Low,1,"APP791,APP823",2
APP019,seize intuitive supply-chains,0.43,0.55,2,Low,0,"APP564,APP177,APP485,APP993",4
APP020,deploy enterprise metrics,0.47,0.21,13,High,1,APP642,1
APP021,repurpose enterprise initiatives,0.17,0.25,2,Medium,0,"APP591,APP277,APP145,APP450,APP060",5
APP022,engineer magnetic applications,0.3,0.63,4,High,0,"APP705,APP223",2
APP023,disintermediate transparent vortals,0.64,0.53,2,High,0,"APP566,APP560",2
APP024,engage virtual eyeballs,0.93,0.69,9,Medium,0,"APP848,APP327",2
APP025,enable clicks-and-mortar synergies,0.93,0.12,10,Medium,0,0,0
APP026,integrate virtual relationships,0.24,0.69,3,High,1,"APP101,APP578,APP373",3
APP027,engineer frictionless bandwidth,0.52,0.42,5,High,1,"APP294,APP411,APP788,APP214,APP731",5
APP028,whiteboard rich synergies,0.25,0.8,4,High,0,"APP019,APP941,APP398",3
APP029,transform world-class mindshare,0.43,0.57,10,Medium,1,"APP936,APP791,APP655,APP935",4
APP030,incentivize 24/7 web-readiness,0.51,0.5,13,Medium,0,APP515,1
APP031,re-intermediate innovative models,0.78,0.71,1,High,1,"APP638,APP613,APP080",3
APP032,embrace interactive infrastructures,0.21,0.7,8,High,0,APP128,1
APP033,drive collaborative schemas,0.31,0.65,5,High,1,"APP352,APP232",2
APP034,monetize distributed schemas,0.32,0.43,15,High,1,"APP768,APP990,APP364",3
APP035,leverage end-to-end bandwidth,0.88,0.98,5,Medium,0,"APP321,APP196,APP656,APP271",4
APP036,expedite clicks-and-mortar partnerships,0.58,0.7,3,Low,0,"APP284,APP940,APP277,APP907,APP383",5
APP037,mesh bricks-and-clicks ROI,0.88,0.73,4,High,1,"APP056,APP154",2
